2026-03-31 13:17:09,344 [INFO] Modo --reprocessar: histórico zerado
2026-03-31 13:17:09,345 [INFO] Buscando XMLs...
2026-03-31 13:18:59,492 [INFO]   131,214 arquivos encontrados
2026-03-31 13:57:25,401 [INFO]   59,000/131,214 verificados — 3,959 novos
2026-03-31 13:58:02,051 [INFO]   60,000/131,214 verificados — 4,000 novos
2026-03-31 13:58:39,462 [INFO]   61,000/131,214 verificados — 4,046 novos
2026-03-31 13:59:17,781 [INFO]   62,000/131,214 verificados — 4,105 novos
2026-03-31 13:59:55,189 [INFO]   63,000/131,214 verificados — 4,159 novos
2026-03-31 14:00:31,647 [INFO]   64,000/131,214 verificados — 4,204 novos
2026-03-31 14:01:08,397 [INFO]   65,000/131,214 verificados — 4,253 novos
2026-03-31 14:01:45,906 [INFO]   66,000/131,214 verificados — 4,307 novos
2026-03-31 14:02:26,351 [INFO]   67,000/131,214 verificados — 4,349 novos
2026-03-31 14:03:03,527 [INFO]   68,000/131,214 verificados — 4,393 novos
2026-03-31 14:03:42,676 [INFO]   69,000/131,214 verificados — 4,442 novos
2026-03-31 14:04:18,369 [INFO]   70,000/131,214 verificados — 4,490 novos
2026-03-31 14:04:55,623 [INFO]   71,000/131,214 verificados — 4,548 novos
2026-03-31 14:05:32,305 [INFO]   72,000/131,214 verificados — 4,584 novos
2026-03-31 14:06:10,287 [INFO]   73,000/131,214 verificados — 4,639 novos
2026-03-31 14:06:47,268 [INFO]   74,000/131,214 verificados — 4,679 novos
2026-03-31 14:07:27,308 [INFO]   75,000/131,214 verificados — 4,716 novos
2026-03-31 14:08:05,631 [INFO]   76,000/131,214 verificados — 4,760 novos
2026-03-31 14:08:45,599 [INFO]   77,000/131,214 verificados — 4,812 novos
2026-03-31 14:09:26,037 [INFO]   78,000/131,214 verificados — 4,860 novos
2026-03-31 14:10:11,787 [INFO]   79,000/131,214 verificados — 4,915 novos
2026-03-31 14:10:49,102 [INFO]   80,000/131,214 verificados — 4,958 novos
2026-03-31 14:11:27,430 [INFO]   81,000/131,214 verificados — 5,000 novos
2026-03-31 14:12:05,437 [INFO]   82,000/131,214 verificados — 5,041 novos
2026-03-31 14:12:43,489 [INFO]   83,000/131,214 verificados — 5,087 novos
2026-03-31 14:13:20,397 [INFO]   84,000/131,214 verificados — 5,135 novos
2026-03-31 14:13:54,920 [INFO]   85,000/131,214 verificados — 5,184 novos
2026-03-31 14:14:33,168 [INFO]   86,000/131,214 verificados — 5,228 novos
2026-03-31 14:15:13,121 [INFO]   87,000/131,214 verificados — 5,272 novos
2026-03-31 14:15:52,297 [INFO]   88,000/131,214 verificados — 5,306 novos
2026-03-31 14:16:30,928 [INFO]   89,000/131,214 verificados — 5,344 novos
2026-03-31 14:17:10,789 [INFO]   90,000/131,214 verificados — 5,394 novos
2026-03-31 14:17:50,250 [INFO]   91,000/131,214 verificados — 5,433 novos
2026-03-31 14:18:28,479 [INFO]   92,000/131,214 verificados — 5,478 novos
2026-03-31 14:19:04,240 [INFO]   93,000/131,214 verificados — 5,513 novos
2026-03-31 14:19:41,290 [INFO]   94,000/131,214 verificados — 5,552 novos
2026-03-31 14:20:17,050 [INFO]   95,000/131,214 verificados — 5,586 novos
2026-03-31 14:20:52,473 [INFO]   96,000/131,214 verificados — 5,617 novos
2026-03-31 14:21:30,594 [INFO]   97,000/131,214 verificados — 5,667 novos
2026-03-31 14:22:06,984 [INFO]   98,000/131,214 verificados — 5,703 novos
2026-03-31 14:22:43,801 [INFO]   99,000/131,214 verificados — 5,740 novos
2026-03-31 14:23:20,384 [INFO]   100,000/131,214 verificados — 5,771 novos
2026-03-31 14:23:57,603 [INFO]   101,000/131,214 verificados — 5,821 novos
2026-03-31 14:24:32,591 [INFO]   102,000/131,214 verificados — 5,856 novos
2026-03-31 14:25:11,516 [INFO]   103,000/131,214 verificados — 5,893 novos
2026-03-31 14:25:47,011 [INFO]   104,000/131,214 verificados — 5,938 novos
2026-03-31 14:26:23,311 [INFO]   105,000/131,214 verificados — 5,979 novos
2026-03-31 14:26:57,870 [INFO]   106,000/131,214 verificados — 6,016 novos
2026-03-31 14:27:33,025 [INFO]   107,000/131,214 verificados — 6,064 novos
2026-03-31 14:28:09,172 [INFO]   108,000/131,214 verificados — 6,105 novos
2026-03-31 14:28:46,882 [INFO]   109,000/131,214 verificados — 6,135 novos
2026-03-31 14:29:21,424 [INFO]   110,000/131,214 verificados — 6,173 novos
2026-03-31 14:29:55,836 [INFO]   111,000/131,214 verificados — 6,218 novos
2026-03-31 14:30:29,960 [INFO]   112,000/131,214 verificados — 6,261 novos
2026-03-31 14:31:04,682 [INFO]   113,000/131,214 verificados — 6,307 novos
2026-03-31 14:31:40,607 [INFO]   114,000/131,214 verificados — 6,349 novos
2026-03-31 14:32:16,217 [INFO]   115,000/131,214 verificados — 6,376 novos
2026-03-31 14:32:50,848 [INFO]   116,000/131,214 verificados — 6,409 novos
2026-03-31 14:33:26,736 [INFO]   117,000/131,214 verificados — 6,447 novos
2026-03-31 14:34:01,866 [INFO]   118,000/131,214 verificados — 6,492 novos
2026-03-31 14:34:37,158 [INFO]   119,000/131,214 verificados — 6,536 novos
2026-03-31 14:35:13,468 [INFO]   120,000/131,214 verificados — 6,578 novos
2026-03-31 14:35:49,671 [INFO]   121,000/131,214 verificados — 6,612 novos
2026-03-31 14:36:24,398 [INFO]   122,000/131,214 verificados — 6,643 novos
2026-03-31 14:37:00,078 [INFO]   123,000/131,214 verificados — 6,687 novos
2026-03-31 14:37:34,866 [INFO]   124,000/131,214 verificados — 6,731 novos
2026-03-31 14:38:11,337 [INFO]   125,000/131,214 verificados — 6,771 novos
2026-03-31 14:38:46,910 [INFO]   126,000/131,214 verificados — 6,812 novos
2026-03-31 14:39:23,364 [INFO]   127,000/131,214 verificados — 6,857 novos
2026-03-31 14:39:59,213 [INFO]   128,000/131,214 verificados — 6,888 novos
2026-03-31 14:40:35,832 [INFO]   129,000/131,214 verificados — 6,922 novos
2026-03-31 14:41:11,860 [INFO]   130,000/131,214 verificados — 6,956 novos
2026-03-31 14:41:48,431 [INFO]   131,000/131,214 verificados — 6,995 novos
2026-03-31 14:41:56,545 [INFO]   Novos CTes válidos: 7,007
2026-03-31 14:41:56,546 [INFO] Agregando 7,007 CTes...
2026-03-31 14:41:56,628 [INFO]   ✓ cte_dados.json salvo localmente
2026-03-31 14:41:57,060 [INFO]   ✓ Histórico atualizado: 7,007 CTes
2026-03-31 14:41:59,493 [ERROR]   ✗ Supabase 400: {"statusCode":"403","error":"Unauthorized","message":"Invalid Compact JWS"}
2026-03-31 14:45:16,346 [INFO] Histórico: 7,007 CTes já processados
2026-03-31 14:45:16,348 [INFO] Buscando XMLs...
2026-03-31 14:46:52,831 [INFO]   131,217 arquivos encontrados
2026-03-31 14:47:15,326 [INFO]   1,000/131,217 verificados — 0 novos
2026-03-31 14:47:37,960 [INFO]   2,000/131,217 verificados — 0 novos
